name;tag;dob;pob;lat;lon;dep_num;dep_name;region;url
Maurice Aymard;scholar;1936.0;Toulouse;43.604082;1.433805;31;Haute-Garonne;Occitanie;https://fr.wikipedia.org/wiki/Maurice_Aymard
Michel Herland;scholar;1945.0;Toulouse;43.604082;1.433805;31;Haute-Garonne;Occitanie;https://fr.wikipedia.org/wiki/Michel_Herland
Georges Kuhnholtz-Lordat;scholar;1888.0;Montpellier;43.610476;3.87048;34;Hérault;Occitanie;https://fr.wikipedia.org/wiki/Georges_Kuhnholtz-Lordat
Jean-Pierre Picot;scholar;1946.0;Montpellier;43.610476;3.87048;34;Hérault;Occitanie;https://fr.wikipedia.org/wiki/Jean-Pierre_Picot
Raymonde Foreville;scholar;1904.0;Montpellier;43.610476;3.87048;34;Hérault;Occitanie;https://fr.wikipedia.org/wiki/Raymonde_Foreville
Catherine Abadie-Reynal;scholar;1955.0;Grèce;43.614253;1.437337;31;Haute-Garonne;Occitanie;https://fr.wikipedia.org/wiki/Catherine_Abadie-Reynal
Dominique Garcia;scholar;1962.0;Clermont-l'Hérault;43.625912;3.434565;34;Hérault;Occitanie;https://fr.wikipedia.org/wiki/Dominique_Garcia
Pierre Maraval;scholar;1936.0;Roquecourbe;43.663669;2.292144;81;Tarn;Occitanie;https://fr.wikipedia.org/wiki/Pierre_Maraval
William Seston;scholar;1900.0;Lasalle;43.692079;0.084108;32;Gers;Occitanie;https://fr.wikipedia.org/wiki/William_Seston
Jean Antoine Gili;scholar;1938.0;Nice;43.71273;7.25092;6;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jean_Antoine_Gili
Jean Chatelain;scholar;1916.0;Nice;43.71273;7.25092;6;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jean_Chatelain
Jean-Claude Passeron;scholar;1930.0;Nice;43.71273;7.25092;6;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jean-Claude_Passeron
Jean Boutière;scholar;1898.0;Mallemort;43.722795;5.178247;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jean_Bouti%C3%A8re
Claude Lauriol;scholar;1932.0;Nîmes;43.814652;4.356289;30;Gard;Occitanie;https://fr.wikipedia.org/wiki/Claude_Lauriol
Henri Donnedieu de Vabres;scholar;1880.0;Nîmes;43.814652;4.356289;30;Gard;Occitanie;https://fr.wikipedia.org/wiki/Henri_Donnedieu_de_Vabres
