dept_num;pob;cadres;activity_rate;tertiaire
2178;Chermizy-Ailles;7.7;84;36.4
2179;Chéry-Chartreuve;3.2;80.7;30.6
2180;Chéry-lès-Pouilly;5.6;79;54.5
2181;Chéry-lès-Rozoy;11.4;66.1;0
2182;Chevennes;0;74.4;0
2183;Chevregny;12.1;75.7;100
2184;Chevresis-Monceau;3.3;76.1;81.5
2185;Chézy-en-Orxois;3.4;73.5;15.2
2186;Chézy-sur-Marne;7.9;77.9;47.5
2187;Chierry;3.2;78.9;43.1
2188;Chigny;0;78.7;33.3
2189;Chivres-en-Laonnois;0;73.9;71.4
2190;Chivres-Val;6.3;80.4;87.5
2191;Chivy-lès-Étouvelles;2.4;76.4;92.9
2192;Chouy;3.5;76.3;40
2193;Cierges;0;88.9;0
2194;Cilly;0;72;84.4
2195;Ciry-Salsogne;2.7;77.4;29
2196;Clacy-et-Thierret;15.4;72.3;100
2197;Clairfontaine;2.4;73.9;48.7
2198;Clamecy;4.8;65.6;100
2199;Clastres;8.6;74.9;76.7
2200;Clermont-les-Fermes;0;59.7;61.5
2201;Cœuvres-et-Valsery;0;82.5;83.6
2203;Coincy;1;73.2;64.7
2204;Coingt;0;69.7;0
2205;Colligis-Crandelain;0;79.4;100
2206;Colonfay;0;62.9;N/A - division par 0
2207;Commenchon;5.5;71.9;100
2208;Concevreux;4.4;76;66.7
2209;Condé-en-Brie;7.6;81.3;76.8
2210;Condé-sur-Aisne;3.6;76.9;62.5
2211;Condé-sur-Suippe;0;84.6;65.4
2212;Condren;3.4;70;76.1
2213;Connigis;0;84;13.3
2214;Contescourt;0;71.1;0
2215;Corbeny;2.8;80.2;59.9
2216;Corcy;7.7;83.9;82.8
2217;Coucy-le-Château-Auffrique;3.6;78;74.6
2218;Coucy-lès-Eppes;1.8;79.9;78.4
2219;Coucy-la-Ville;0;70.6;93.8
2220;Coulonges-Cohan;8.6;83.5;59.3
2221;Coupru;0;83.7;50
2222;Courbes;0;66.7;N/A - division par 0
2223;Courboin;0;82.1;38.5
2224;Courcelles-sur-Vesle;3.7;76.1;91.9
2225;Courchamps;0;75.6;0
2226;Courmelles;7.3;75.8;86.4
2227;Courmont;0;80.6;100
2228;Courtemont-Varennes;3.7;77.7;82.1
2229;Courtrizy-et-Fussigny;18.2;70.7;50
2230;Couvrelles;8.3;79.8;59.3
2231;Couvron-et-Aumencourt;8.3;77.4;71.8
2232;Coyolles;0;52.9;95.8
2233;Cramaille;9.6;81.5;100
2234;Craonne;15.6;76.9;96.6
2235;Craonnelle;0;80.3;N/A - division par 0
2236;Crécy-au-Mont;3.9;74.6;64.5
2237;Crécy-sur-Serre;0;78.4;78
2238;Crépy;4.3;77.6;73.5
