name;tag;dob;pob
Philippe Knoche;executive;1969;Strasbourg
Philippe Labro;executive;1936;Montauban
Philippe Lagayette;executive;1943;Tulle
Philippe Lepage;executive;1951;Boulogne-Billancourt
Philippe Malet;executive;1909;Montpellier
Philippe Palazzi;executive;1971;Aix-en-Provence
Philippe Petitcolin;executive;1952;Saint-Mihiel
Philippe Petitcolin;executive;1952;Saint-Mihiel
Philippe Petitcolin;executive;1952;Saint-Mihiel
Philippe Vidal;executive;1958;Nantes
Pierre Anjolras;executive;1966;Thonon-les-Bains
Pierre Gode;executive;1944;Abbeville
Pierre Louette;executive;1962;Paris
Pierre Pauliac;executive;1912;Villeneuve-sur-Lot
Pierre Pringuet;executive;1950;Paris
Pierre Pringuet;executive;1950;Paris
Pierre Victoria;executive;1954;Carhaix
Qiong'er Jiang;executive;1976;Shanghai
Rachel Picard;executive;1966;Lyon
Ramon Fernandez;executive;1894;Paris 17
Ramon Fernandez;executive;1967;Paris 15
Raoul Roth;executive;1924;Paris 4
Ricard Societe-Paul;executive;1909;Marseille
Robert Hubbard;executive;1911;Tilden dans le Nebras
Robert Peugeot;executive;1950;Belfort
Robert Peugeot;executive;1950;Belfort
Robert Peugeot;executive;1950;Belfort
Rodolphe Belmer;executive;1969;Rennes
Rodolphe Saade;executive;1970;Beyrouth
Roger Andrieu;executive;1940;Saint-Vincent-de-Conn
Rose Van-Lerberghe;executive;1947;Aiserey
Ross Innes;executive;1954;Calcutta
Ross Innes;executive;1954;Calcutta
Ross Mc-Innes;executive;1954;Calcutta
Ross Mc-Innes;executive;1954;Calcutta
Ross Mc-Innes;executive;1954;Calcutta
Sebastien Bazin;executive;1961;Boulogne-Billancourt
Serge Dassault;executive;1925;Paris 4
Serge Weinberg;executive;1951;Boulogne-Billancourt
Simon Badinter;executive;1944;Boulogne-Billancourt
Simon Gillham;executive;1956;Letchworth Garden Cit
Simon Gillham;executive;1956;Letchworth Garden Cit
Slawomir Krupa;executive;1974;Bourgas
Sophie Badinter;executive;1928;Paris 16
Sophie Bellon;executive;1961;Marseille
Stephane Pallez;executive;1959;Paris
Stéphane Richard;executive;1961;Caudéran
Stéphane Roussel;executive;1961;Paris 16
Stéphane Roussel;executive;1961;Paris 16
Stephanie Ferrier;executive;1971;Courbevoie
Stephen King;executive;1947;Portland (Maine)
Susana Gallardo-Torrededia;executive;1964;Barcelone
Tarak Ben-Ammar;executive;1949;Tunis
Thierry Breton;executive;1955;Paris 14
Thierry Dassault;executive;1957;Neuilly-sur-Seine
Thierry Desmarest;executive;1945;Paris 12
Thomas Enders;executive;1958;Bruchertseifen
Tidjane Thiam;executive;1962;Abidjan
Tidjane Thiam;executive;1962;Abidjan
Valérie Baudson;executive;1971;Paris
Valérie Baudson;executive;1971;Paris
Valerie Chapoulaud-Floquet;executive;1962;Neuilly-sur-Seine
Vanessa Schneider;executive;1969;Puteaux
Vianney Du-Parc;executive;1786;Dardilly
Vincent Bollore;executive;1952;Boulogne-Billancourt
Vincent Bolloré;executive;1952;Boulogne-Billancourt
Vincent Dufour;executive;1968;Longjumeau
Virginia Stallings;executive;1894;Macon (Géorgie)
Virginie Fauvel;executive;1974;Firminy
Virginie Morgon;executive;1969;Lyon
Virginie Morgon;executive;1969;Lyon
William Gates;executive;1955;Seattle
Xavier Beulin;executive;1958;Donnery
Xavier Fontanet;executive;1948;Malestroit
Xavier Girre;executive;1969;Rennes
Xavier Musca;executive;1960;Bastia
Xavier Musca;executive;1960;Bastia
Xavier Niel;executive;1967;Maisons-Alfort
Yannick Bolloré;executive;1980;Neuilly-sur-Seine
Yannick D'-Escatha;executive;1948;Paris
Yves De-Silguy;executive;1948;Rennes
Yves Rannou;executive;1897;Guingamp
