name,tag,dob,pob,dept_num,dept_ob,region,lat,lon,confidence
Maurice Bokanowski,ministre,1879,Le Havre,76,Seine-Maritime,Normandie,49.507345,0.129995,0.959
Louis Terrenoire,ministre,1908,Lyon,69,Rhône,Auvergne-Rhône-Alpes,45.758,4.835,0.964
Louis Terrenoire,ministre,1908,Lyon,69,Rhône,Auvergne-Rhône-Alpes,45.758,4.835,0.964
Louis Terrenoire,ministre,1908,Lyon,69,Rhône,Auvergne-Rhône-Alpes,45.758,4.835,0.964
Catherine Tasca,ministre,1941,Lyon,69,Rhône,Auvergne-Rhône-Alpes,45.758,4.835,0.964
Dominique Perben,ministre,1945,Lyon,69,Rhône,Auvergne-Rhône-Alpes,45.758,4.835,0.964
Dominique Perben,ministre,1945,Lyon,69,Rhône,Auvergne-Rhône-Alpes,45.758,4.835,0.964
Catherine Tasca,ministre,1941,Lyon,69,Rhône,Auvergne-Rhône-Alpes,45.758,4.835,0.964
Dominique Perben,ministre,1945,Lyon,69,Rhône,Auvergne-Rhône-Alpes,45.758,4.835,0.964
Dominique Perben,ministre,1945,Lyon,69,Rhône,Auvergne-Rhône-Alpes,45.758,4.835,0.964
Dominique Perben,ministre,1945,Lyon,69,Rhône,Auvergne-Rhône-Alpes,45.758,4.835,0.964
Dominique Perben,ministre,1945,Lyon,69,Rhône,Auvergne-Rhône-Alpes,45.758,4.835,0.964
Jacques Foccart,ministre,1913,Ambrières-les-Vallées,53,Mayenne,Pays de la Loire,48.426329,-0.619444,0.94
Valérie Giscard d'Estaing,ministre,1953,Paris,75,Paris,Île-de-France,48.859,2.347,0.97
Valérie Giscard d'Estaing,ministre,1953,Paris,75,Paris,Île-de-France,48.859,2.347,0.97
Valérie Giscard d'Estaing,ministre,1953,Paris,75,Paris,Île-de-France,48.859,2.347,0.97
Georgina Dufoix,ministre,1942,Paris,75,Paris,Île-de-France,48.859,2.347,0.97
Alain Calmat,ministre,1940,Paris,75,Paris,Île-de-France,48.859,2.347,0.97
Georgina Dufoix,ministre,1942,Paris,75,Paris,Île-de-France,48.859,2.347,0.97
Frédérique Bredin,ministre,1956,Paris,75,Paris,Île-de-France,48.859,2.347,0.97
Frédérique Bredin,ministre,1956,Paris,75,Paris,Île-de-France,48.859,2.347,0.97
