Date;Sens;Sicovam ou ISIN;Valeur;Sources;Manque & Commentaires
18/09/2006;Retrait;LU0140205948;Arcelor;Avis Euronext N°2006-2498;Suite à l'OPA de Mittal, Mittal remplace Arcelor suspendu depuis le 16/06/2006.
18/09/2006;Admission;NL0000361947;Mittal Steel;Avis Euronext N°2006-2498;Remplace Arcelor suite à OPA.
18/12/2006;Retrait;FR0000130577;Publicis;;Remplacé par Vallourec
18/12/2006;Admission;FR0000120354;Vallourec;;Remplace Publicis
2007;;;;;
11/04/2007;Suspension;FR0000125924;AGF;;Suspendue suite OPE.
18/06/2007;Retrait;FR0000184533;Thomson;Avis Euronext N°2007-0108;Remplacé par Air France-KLM et Unibail
18/06/2007;Admission;FR0000031122;Air France-KLM;Avis Euronext N°2007-0108;
18/06/2007;Admission;FR0000124711;Unibail;Avis Euronext N°2007-0108;
03/09/2007;Retrait;NL0000361947;Mittal Steel;Avis Euronext N°2007-0170;Remplacé par ArcelorMittal suite fusion/acquisition.
03/09/2007;Admission;LU0323134006;ArcelorMittal;Avis Euronext N°2007-0170;
2008;;;;;
22/07/2008;Retrait;FR0000120529;Suez;Avis Euronext N°2008-139;Retrait suite fusion avec GDF
22/09/2008;Admission;FR0010613471;Suez Environnement;Avis Euronext N°2008-170;
2009;;;;;
21/09/2009;Retrait;FR0000031122;Air France KLM;Avis Euronext N°2009-204;
21/09/2009;Admission;FR0000131708;Technip;Avis Euronext N°2009-204;
2010;;;;;
02/07/2010;Admission;FR0010908533;Edenred;Avis Euronext N°2010-097;Scission de la société Accor en deux sociétés distinctes : Accor et Edenred. Edenred fera partie du CAC40 du 02/07 au 05/07 !
05/07/2010;Retrait;FR0010908533;Edenred;Avis Euronext N°2010-097;
20/09/2010;Retrait;BE0003796134;Dexia;Avis Euronext N°2010-139;Dexia remplacé par Natixis.
20/09/2010;Admission;FR0000120685;Natixis;Avis Euronext N°2010-139;Remplace Dexia.
20/09/2010;Retrait;FR0000130213;Lagardère;Avis Euronext N°2010-139;Remplacé par Publicis.
20/09/2010;Admission;FR0000130577;Publicis;Avis Euronext N°2010-139;Remplace Lagardère.
2011;;;;;
16/09/2011;Retrait;FR0000120685;Natixis;Avis Euronext N°2011-189;Remplacement de Natixis par Safran. Natixis retiré le 16/09/2011 après la clôture.
19/09/2011;Admission;FR0000073272;Safran;Avis Euronext N°2011-189;Remplace Natixis le 19/09/2011 avant l'ouverture.
16/12/2011;Retrait;FR0010613471;Suez Environnement;Avis Euronext N°2011-238;Remplacement de Suez Environnement par Legrand. Suez Environnement retiré le 16/12/2011 après la clôture.
19/12/2011;Admission;FR0010307819;Legrand;Avis Euronext N°2011-238;Remplace Suez Environnement le 19/09/2011 avant l'ouverture.
2012;;;;;
21/09/2012;Retrait;FR0000121501;Peugeot;Avis Euronext N°2012-170;Remplacement de Peugeot par Solvay. Peugeot retiré le 21/09/2012 après la clôture.
24/09/2012;Admission;BE0003470755;Solvay;Avis Euronext N°2012-170;Remplace Peugeot le 24/09/2012 avant l'ouverture.
21/12/2012;Retrait;FR0000130007;Alcatel;Avis Euronext N°2012-221;Remplacement de Alcatel par Gemalto. Alcatel retiré le 21/12/2012 après la clôture.
24/12/2012;Admission;NL0000400653;Gemalto;Avis Euronext N°2012-221;Remplace Peugeot le 24/12/2012 avant l'ouverture.
2013;;;;;
20/12/2013;Retrait;NL0000226223;STMicroelectronics;Avis Euronext N°2013-198;Remplacement de STMicroelectronics par Alcatel le 23/12/2013 avant l'ouverture.
23/12/2013;Admission;FR0000130007;Alcatel;Avis Euronext N°2013-198;Remplace STMicroelectronics le 23/12/2013 avant l'ouverture.
2014;;;;;
18/06/2014;Retrait;FR0000120354;Vallourec;Avis Euronext N°2014-144;Remplacement de Vallourec par Valeo le 21/06/2014 avant l'ouverture.
21/06/2014;Admission;FR0000130338;Valeo;Avis Euronext N°2014-144;Remplace Vallourec le 21/06/2014 avant l'ouverture.
2015;;;;;
18/03/2015;Retrait;NL0000400653;Gemalto;Avis Euronext N°2015-013;Remplacement de Gemalto par Peugeot le 21/03/2015 avant l'ouverture.
21/03/2015;Admission;FR0000121501;Peugeot;Avis Euronext N°2015-013;Remplace Gemalto le 21/03/2015 avant l'ouverture.
18/12/2015;Retrait;FR0010242511;EDF;Communiqué Euronext du 07/12/2015;Remplacement de EDF par Klepierre le 21/12/2015 avant l'ouverture.
21/12/2015;Admission;FR0000121964;Klepierre;Communiqué Euronext du 07/12/2015;Remplace EDF le 21/12/2015 avant l'ouverture.
2016;;;;;
06/01/2016;Retrait;FR0000130007;Alcatel;Pas d'avis Euronext !;Remplacement d'Alcatel par Nokia le 07/01/2016 avant l'ouverture.
07/01/2016;Admission;FI0009000681;Nokia;Pas d'avis Euronext !;Remplace Alcatel le 07/01/2016 avant l'ouverture.
18/03/2016;Retrait;FR0010220475;Alstom;Communiqué Euronext du 10/03/2016;Remplacement de Alstom par Sodexo le 21/03/2016 avant l'ouverture.
21/03/2016;Admission;FR0000121220;Sodexo;Communiqué Euronext du 10/03/2016;Remplace Alstom le 21/03/2016 avant l'ouverture.
2017;;;;;
20/03/2017;Retrait;FR0000121964;Klepierre;Communiqué Euronext du 09/03/2017;Remplacement de Klepierre par Atos le 20/03/2017 avant l'ouverture.
"20/03/2017 style=""background-color:#F0F0F0""";Admission;FR0000051732;Atos;Communiqué Euronext du 09/03/2017;Remplace Klepierre le 20/03/2017 avant l'ouverture.
18/03/2017;Retrait;FI0009000681;Nokia;Communiqué Euronext du 07/09/2017;Remplacement de Nokia par STMicroelectronics le 18/09/2017 avant l'ouverture.
20/03/2017;Admission;NL0000226223;STMicroelectronics;Communiqué Euronext du 07/09/2017;Remplace Nokia le 18/09/2017 avant l'ouverture.
2018;;;;;
18/06/2018;Retrait;FR0000120537;LafargeHolcim;Communiqué Euronext du 07/06/2018;Remplacement de Lafarge-Holcim par Hermes International le 18/06/2018 avant l'ouverture.
18/06/2018;Admission;FR0000052292;Hermes International;Communiqué Euronext du 07/06/2018;Remplace Lafarge-Holcim le 18/06/2018 avant l'ouverture.
24/09/2018;Retrait;BE0003470755;Solvay;Communiqué Euronext du 13/09/2018;Remplacement de Solvay par Dassault Systèmes le 14/09/2018 avant l'ouverture.
24/09/2018;Admission;FR0000130650;Dassault Systèmes;Communiqué Euronext du 13/09/2018;Remplace Solvay le 24/09/2018 avant l'ouverture.
2019;;;;;
03/05/2019;Admission;FR0011981968;Worldline;;
24/06/2019;Retrait;FR0011981968;Worldline;Communiqué Euronext du 13/06/2019;
24/06/2019;Retrait;FR0000130338;Valeo;Communiqué Euronext du 13/06/2019;Remplacement de Valeo par Thales le 24/06/2019 avant l'ouverture.
24/06/2018;Admission;FR0000121329;Thales;Communiqué Euronext du 13/06/2019;Remplace Valeo le 24/06/2019 avant l'ouverture.
2020;;;;;
23/03/2020;Retrait;FR0000131708;TechnipFMC;Communiqué Euronext du 12/03/2020;Remplacement de TechnipFMC par Worldline le 23/03/2020 à l'ouverture.
