pob;dept_num;median;gini
Liesse-Notre-Dame;2430;20300;
Liez;2431;21450;
Limé;2432;22500;
Lislet;2433;20650;
Logny-lès-Aubenton;2435;;
Longpont;2438;23520;
Les Septvallons;2439;22130;
Lor;2440;21380;
Louâtre;2441;24490;
Loupeigne;2442;;
Lucy-le-Bocage;2443;26090;
Lugny;2444;20060;
Luzoir;2445;21120;
Ly-Fontaine;2446;23530;
Maast-et-Violaine;2447;20230;
Mâchecourt;2448;20690;
Macogny;2449;;
Macquigny;2450;18980;
Magny-la-Fosse;2451;20670;
Maissemy;2452;24660;
Maizy;2453;22110;
La Malmaison;2454;21430;
Malzy;2455;22820;
Manicamp;2456;20770;
Marchais;2457;19640;
Dhuys et Morin-en-Brie;2458;23090;
Marcy;2459;30430;
Marcy-sous-Marle;2460;20840;
Marest-Dampcourt;2461;22600;
Mareuil-en-Dôle;2462;21480;
Marfontaine;2463;;
Margival;2464;22820;
Marigny-en-Orxois;2465;22820;
Marizy-Sainte-Geneviève;2466;23910;
Marizy-Saint-Mard;2467;;
Marle;2468;18670;0.267
Marly-Gomont;2469;18610;
Martigny;2470;18720;
Martigny-Courpierre;2471;22900;
Mauregny-en-Haye;2472;20880;
Mayot;2473;21250;
Mennessis;2474;21470;
Mennevret;2476;19330;
Mercin-et-Vaux;2477;25170;
Merlieux-et-Fouquerolles;2478;21910;
Mesbrecourt-Richecourt;2480;23300;
Mesnil-Saint-Laurent;2481;30400;
Meurival;2482;;
Mézières-sur-Oise;2483;24540;
Mézy-Moulins;2484;21980;
Missy-aux-Bois;2485;30210;
Missy-lès-Pierrepont;2486;;
Missy-sur-Aisne;2487;23870;
Molain;2488;21240;
Molinchart;2489;26560;
Monampteuil;2490;28320;
Monceau-le-Neuf-et-Faucouzy;2491;21230;
Monceau-lès-Leups;2492;20550;
Monceau-le-Waast;2493;22380;
Monceau-sur-Oise;2494;23550;
Mondrepuis;2495;21680;
Monnes;2496;23670;
Mons-en-Laonnois;2497;23910;
Montaigu;2498;22150;
Montbavin;2499;;
Montbrehain;2500;20690;
Montchâlons;2501;;
Montcornet;2502;18140;
Mont-d'Origny;2503;19460;
Montescourt-Lizerolles;2504;21160;
Montfaucon;2505;24210;
Montgobert;2506;25720;
Montgru-Saint-Hilaire;2507;;
Monthenault;2508;23470;
Monthiers;2509;20750;
Monthurel;2510;25900;
Montigny-en-Arrouaise;2511;21250;
Montigny-l'Allier;2512;23710;
Montigny-le-Franc;2513;21430;
Montigny-Lengrain;2514;23400;
Montigny-lès-Condé;2515;;
Montigny-sous-Marle;2516;;
Montigny-sur-Crécy;2517;20050;
Montlevon;2518;22420;
Montloué;2519;16470;
Mont-Notre-Dame;2520;22300;
Montreuil-aux-Lions;2521;24450;
Mont-Saint-Jean;2522;;
Mont-Saint-Martin;2523;;
Mont-Saint-Père;2524;24070;
Morcourt;2525;24530;
Morgny-en-Thiérache;2526;;
Morsain;2527;21910;
Mortefontaine;2528;24150;
Mortiers;2529;20830;
Moulins;2530;;
Moussy-Verneuil;2531;21510;
Moÿ-de-l'Aisne;2532;22650;
Muret-et-Crouttes;2533;23960;
