name;tag;dob;pob;dept_ob;dep_num;region;lat;lon;confidence;id
Danièle Hoffman-Rispal;depute;1951;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;10697
Marielle De Sarnez;depute;1951;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;19375
Jean-Paul Planchou;depute;1948;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;5969
Michel Charzat;depute;1942;Paris 20;Paris;75;Île-de-France;48.863311767578125;2.3996946811676025;0.473;1689
Alain Billon;depute;1942;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;811
Gisèle Moreau;depute;1941;Paris 18;Paris;75;Île-de-France;48.8870221;2.3478318;0.473;5405
René Béguet;depute;1939;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;574
Tony Dreyfus;depute;1939;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;2588
Jean Tiberi;depute;1935;Paris 5;Paris;75;Île-de-France;48.8465576171875;2.3515963554382324;0.473;7071
Roger Chinaud;depute;1934;Paris 18;Paris;75;Île-de-France;48.8870221;2.3478318;0.473;1796
Claude-Gérard Marcus;depute;1933;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;4985
Henri Modiano;depute;1932;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;5319
Lionel Assouad;depute;1930;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;219
Claude Martin;depute;1930;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;5035
Robert Calméjane;depute;1929;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;1382
Serge Boucheny;depute;1929;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;1007
Jacques Mer;depute;1927;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;5187
Hélène Missoffe;depute;1927;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;5308
Michel Caldaguès;depute;1926;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;1374
Gilbert Noël;depute;1926;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;5565
Philippe, Pierre, Jules, Eugène, Charles Vayron;depute;1926;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;7214
Claude Estier;depute;1925;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;2854
Gilbert Gantier;depute;1924;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;3243
Pierre Remond;depute;1924;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;6667
Louis Baillot;depute;1924;Paris 18;Paris;75;Île-de-France;48.8870221;2.3478318;0.473;340
Georges Bourriquet;depute;1923;Paris 19;Paris;75;Île-de-France;48.88661575317383;2.384809970855713;0.473;1105
Jacques Marette;depute;1922;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;4989
Michel Marquet;depute;1921;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;5020
Georges, Henri, Paul Germain;depute;1920;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;3375
Hubert Germain;depute;1920;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;3377
Bernard Rocher;depute;1920;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;6036
