name;tag;dob;pob
Jacqueline Chevé;senat;1961;Merdrignac
Jean-Pierre Chevènement;senat;1939;Belfort
Guillaume Chevrollier;senat;1974;Château-Gontier
Roger Chinaud;senat;1934;Paris 18
Jacques Chiron;senat;1949;Unknown
Bernard Chochoy;senat;1908;Nielles-lès-Bléquin
Auguste Chupin;senat;1919;Chemillé
Félix Ciccolini;senat;1916;Cozzano
Olivier Cigolotti;senat;1963;Saint-Étienne
Marie-Carole Ciuntu;senat;1964;Paris 12
Henri Claireaux;senat;1911;Saint-Pierre
Karine Claireaux;senat;1963;Saint-Pierre
Emile Claparede;senat;1902;Not found
Gérard Claudel;senat;1925;Ennery
Marcel-Pierre Cléach;senat;1934;Saint-Renan
Jean Clerc;senat;1899;Not found
Hippolyte CLEREL de TOCQUEVILLE;senat;1899;Not found
Jean Clouet;senat;1921;Nantes
Jean Cluzel;senat;1923;Moulins
Georges Cogniot;senat;1901;Montigny-lès-Cherlieu
Laurence Cohen;senat;1953;Unknown
Christian Cointat;senat;1943;Tresques
André Colin;senat;1910;Brest
Jean Colin;senat;1923;Unknown
Henri Collard;senat;1928;Villers-aux-Bois
Jean Collery;senat;1922;Aÿ
François Collet;senat;1923;Paris 6
Henri Collette;senat;1922;Ardres
Yvon Collin;senat;1944;Montauban
Francisque Collomb;senat;1910;Saint-Rambert-en-Bugey
Gérard Collomb;senat;1947;Chalon-sur-Saône
Pierre-Yves Collombat;senat;1945;Voiron
François Commeinhes;senat;1949;Sète
Catherine Conconne;senat;1963;Fort-de-France
Agnès Constant;senat;1962;Madagascar
Georges Constant;senat;1908;Payrac
Mireille Conte Jaubert;senat;1954;Cognac
Hélène Conway-Mouret;senat;1960;Bône
Gérald Coppenrath;senat;1922;Papeete
Yves Coquelle;senat;1939;Fouquières-lès-Lens
Evelyne Corbière Naminzo;senat;1980;Not found
Jean-Pierre Corbisez;senat;1960;Douai
Claude Cornac;senat;1939;Unknown
Jacques Cornano;senat;1956;Saint-Louis
Henri Cornat;senat;1903;Lunéville
André Cornu;senat;1899;Gap
Gérard Cornu;senat;1952;Aouste
Josiane Costes;senat;1947;Unknown
Marcel Costes;senat;1935;Figeac
Yvon Coude Du Foresto;senat;1899;Not found
Raymond Couderc;senat;1946;Bordeaux
Jacques Coudert;senat;1908;Le Raincy
Roger Courbatere;senat;1905;Not found
Antoine Courriere;senat;1909;Cuxac-Cabardès
Raymond Courrière;senat;1932;Cuxac-Cabardès
Louis Courroy;senat;1915;Unknown
Roland Courteau;senat;1943;Narbonne
Édouard Courtial;senat;1973;Neuilly-sur-Seine
Jean-Patrick Courtois;senat;1951;Lyon
Auguste Cousin;senat;1903;Catteville
Maurice Coutrot;senat;1907;Paris
Maurice Couve De Murville;senat;1907;Reims
Thierry Cozic;senat;1973;Unknown
Suzanne Cremieux;senat;1899;Not found
Roselle Cros;senat;1947;Unknown
Pierre Croze;senat;1921;Casablanca
Michel Crucis;senat;1922;Trélon
Cécile Cukierman;senat;1976;Bagneux
Pierre Cuypers;senat;1944;Unknown
Michel Dagbert;senat;1962;Barlin
Georges Dagonia;senat;1930;Lamentin
Michel D'Aillieres;senat;1923;Not found
Etienne Dailly;senat;1918;Paris 8
Philippe Dallier;senat;1962;Levallois-Perret
Hubert D'Andigne;senat;1917;Not found
René Danesi;senat;1947;Unknown
Jean-Claude Danglot;senat;1950;Unknown
Karine Daniel;senat;1974;Nantes
Ronan Dantec;senat;1963;Brest
Laure Darcos;senat;1970;Neuilly-sur-Seine
Xavier Darcos;senat;1947;Limoges
Georges Dardel;senat;1919;Valletot
Philippe d'Argenlieu;senat;1899;Not found
Mathieu Darnaud;senat;1975;Valence
Philippe Darniche;senat;1943;Unknown
Marcel Darou;senat;1899;Not found
Jérôme Darras;senat;1957;Liévin
Michel Darras;senat;1924;Cuinchy
Francis Dassaud;senat;1899;Not found
Serge Dassault;senat;1925;Paris 4
Henri d'Attilio;senat;1927;Châteauneuf-les-Martigues
Raphaël Daubet;senat;1977;Périgueux
Marc-Philippe Daubresse;senat;1953;Lille
Yves Daudigny;senat;1947;Chavignon
Yves Dauge;senat;1935;Fontevraud-l'Abbaye
André Daugnac;senat;1919;Toulouse
Marcel Daunay;senat;1930;Saint-Méen-le-Grand
Marc Daunis;senat;1955;Marseille
Annie David;senat;1963;La Tronche
Jean David;senat;1924;Not found
Léon David;senat;1901;Roquevaire
Georges Dayan;senat;1915;Oran
Jean de Bagneux;senat;1900;Parigné
Arnaud de Belenet;senat;1975;Unknown
Philippe de Bourgoing;senat;1921;Paris 8
Louis de Broissia;senat;1943;Hanoï
Louis De Catuelan;senat;1924;Not found
Pierre De Chevigny;senat;1914;Not found
Marta de Cidrac;senat;1964;Bankya
Charles-Henri de Cossé-Brissac;senat;1936;Paris 7
Charles de Cuttoli;senat;1915;Sartène
Pierre de Felice;senat;1899;Not found
Philippe de Gaulle;senat;1921;Paris 15
Jean de Geoffre de Chabrignac;senat;1899;Not found
Baudouin de Hauteclocque;senat;1908;Royon
Nicole de Hauteclocque;senat;1913;Commercy
Louis De La Forest;senat;1914;Not found
Marie-Pierre de La Gontrie;senat;1958;Chambéry
Pierre de La Gontrie;senat;1902;La Rochelle
Christian de La Malène;senat;1920;Nîmes
Sonia de La Provôté;senat;1968;Caen
Guy de La Vasselais;senat;1902;Colombes
Guy De La Verpilliere;senat;1922;Not found
Jean de Lachomette;senat;1912;Lyon 5
Dominique de Legge;senat;1952;Le Pertre
Monique de Marco;senat;1953;Decazeville
Jacques de Maupeou;senat;1899;Nantes
Jacques de Menou;senat;1932;Strasbourg
Geoffroy de Montalembert;senat;1899;Not found
Aymeri de Montesquiou;senat;1942;Marsan
Albéric de Montgolfier;senat;1964;Neuilly-sur-Seine
Lucien de Montigny;senat;1909;Mayenne
François de Nicolaÿ;senat;1919;Unknown
Louis-Jean de Nicolaÿ;senat;1949;Le Mans
Joseph de Pommery;senat;1904;Fontainebleau
Michel de Pontbriand;senat;1911;Erbray
Henri de Raincourt;senat;1948;Saint-Valérien
Philippe de Raincourt;senat;1909;Saint-Valérien et mor
Henri de Richemont;senat;1946;Paris
Louis Ferdinand de Rocca Serra;senat;1936;Not found
Jean-Paul de Rocca-Serra;senat;1911;Bonifacio
Josselin de Rohan;senat;1938;Suresnes
Marie-France de Rose;senat;1943;Évreux
Lionel de Tinguy du Pouet;senat;1911;Paris 16
Augustin de Villeneuve Bargemont;senat;1909;Not found
Xavier de Villepin;senat;1926;Bruxelles
Pierre de Villoutreys de Brignac;senat;1899;Not found
Raymond de Wazieres;senat;1910;Not found
Marcel Debarge;senat;1929;Courrières
Désiré Debavelaere;senat;1924;Unknown
René Debesson;senat;1900;Bézenet
Roger Deblock;senat;1908;Ledringhem
Isabelle Debré;senat;1957;Lisieux
Jean-Pierre Decool;senat;1952;Bourbourg
Gaston Defferre;senat;1910;Marsillargues
Jean Deguise;senat;1910;Douchy
Alfred Dehe;senat;1899;Not found
Luc Dejoie;senat;1931;Nantes
Véronique Del Fabro;senat;1961;Unknown
Robert del Picchia;senat;1942;Marseille
Roger Delagnes;senat;1902;Montpellier
Vincent Delahaye;senat;1959;L'Isle-Adam
Jacques Delalande;senat;1908;Le Mans
Jean Delaneau;senat;1933;Saint-Marcel
Bertrand Delanoë;senat;1950;Tunis
Francis Delattre;senat;1946;Naours
Nathalie Delattre;senat;1968;Aubervilliers
Bernard Delcros;senat;1953;Saint-Flour
Michel Delebarre;senat;1946;Bailleul
André Delelis;senat;1924;Cauchy-à-la-Tour
Jean-Paul Delevoye;senat;1947;Bapaume
Gérard Delfau;senat;1937;Saint-Jean-de-Fos
François Delga;senat;1919;Lautrec
Jean-Marc Delia;senat;1967;Unknown
Lucien Delmas;senat;1931;Terrasson
Annie Delmont-Koropoulis;senat;1947;Unknown
Jacques-Richard Delong;senat;1921;Bourbonne-les-Bains
Claudius Delorme;senat;1908;Mornant
Vincent Delpuech;senat;1899;Not found
Patricia Demas;senat;1966;Unknown
Jean-Pierre Demerliat;senat;1943;Saint-Martin-le-Vieux
Michelle Demessine;senat;1947;Frelinghien
Fernand Demilly;senat;1934;Unknown
Stéphane Demilly;senat;1963;Albert
Christiane Demontès;senat;1954;Unknown
Christian Demuynck;senat;1947;Le Perreux-sur-Marne
Marcel Deneux;senat;1928;Unknown
Michel Dennemont;senat;1949;Les Avirons
Jean Derian;senat;1932;Not found
Gérard Dériot;senat;1944;Louroux-Hodement
Catherine Deroche;senat;1953;Beaupréau
Jacky Deromedi;senat;1944;Toulouse
Renée Dervaux;senat;1908;Meung-sur-Loire
Dinah Derycke;senat;1946;Armentières
Marie-Hélène Des Esgaulx;senat;1950;Dax
Marc Desache;senat;1899;Not found
